date,cpu_usage,memory_usage
2025-07-25 12:24:55.008648,4.7,90.6
2025-07-25 12:24:57.016241,6.8,90.6
2025-07-25 12:24:59.024478,6.4,90.6
2025-07-25 12:25:01.032458,6.2,90.6
2025-07-25 12:25:03.040762,5.0,90.7
2025-07-25 12:25:05.047849,4.5,90.7
2025-07-25 12:25:07.056099,4.5,90.7
2025-07-25 12:25:09.063772,6.5,90.4
2025-07-25 12:25:11.072721,5.2,90.4
2025-07-25 12:25:13.080829,8.6,90.4
2025-07-25 12:25:15.088853,6.4,90.5
2025-07-25 12:25:17.096812,7.3,90.5
2025-07-25 12:25:19.105224,6.4,90.5
2025-07-25 12:25:21.112614,10.9,90.5
2025-07-25 12:25:23.121648,18.7,91.0
2025-07-25 12:25:25.129081,7.3,88.9
2025-07-25 12:25:27.137357,11.7,88.9
2025-07-25 12:25:29.145215,8.0,88.9
2025-07-25 12:25:31.153412,10.5,88.9
2025-07-25 12:37:58.203821,36.1,87.2
2025-07-25 12:38:03.213656,6.8,87.0
2025-07-25 12:38:08.220892,10.8,86.9
2025-07-25 12:38:13.228312,9.4,86.7
2025-07-25 12:38:18.236751,5.2,86.6
2025-07-25 12:38:23.245994,6.4,86.6
2025-07-25 12:38:28.254266,13.9,86.6
2025-07-25 12:38:33.263051,6.2,85.8
2025-07-25 12:38:38.270759,8.0,85.8
2025-07-25 12:38:43.280142,6.2,85.8
2025-07-25 12:38:48.288129,8.7,85.8
2025-07-25 12:38:53.296392,5.8,85.9
2025-07-25 12:38:58.304766,7.0,85.9
2025-07-25 12:39:03.313150,6.4,85.9
2025-07-25 12:39:08.322377,11.6,86.2
2025-07-25 12:39:13.331702,9.8,86.2
2025-07-25 12:39:18.338362,20.5,87.0
2025-07-25 12:39:23.343983,19.8,87.6
2025-07-25 12:39:28.350982,10.5,87.3
2025-07-25 12:39:33.361677,6.9,87.0
2025-07-25 12:39:38.370124,9.3,86.8
2025-07-25 12:39:43.376840,6.7,86.6
2025-07-25 12:39:48.386733,11.6,86.9
2025-07-25 12:39:53.399868,8.0,87.5
2025-07-25 12:43:12.975177,12.2,91.6
2025-07-25 12:43:17.982550,8.2,91.3
2025-07-25 12:43:22.991428,9.0,91.4
2025-07-25 12:43:27.997812,12.6,90.8
2025-07-25 12:43:33.006041,8.5,90.8
2025-07-25 12:43:38.012437,10.7,90.8
2025-07-25 12:43:43.020137,18.1,90.8
2025-07-25 12:43:48.027556,17.1,91.1
2025-07-25 12:43:53.033304,6.4,91.2
2025-07-25 12:43:58.039566,9.5,91.1
2025-07-25 12:44:03.045957,10.8,91.2
2025-07-25 12:44:08.052451,9.3,91.2
2025-07-25 12:44:13.059611,6.8,91.2
2025-07-25 12:44:18.064897,6.0,91.2
2025-07-25 12:44:23.072565,9.5,91.2
2025-07-25 12:44:28.081064,7.9,91.1
2025-07-25 12:44:33.088038,9.7,91.1
2025-07-25 12:44:38.096291,9.6,91.1
2025-07-25 12:44:43.104496,6.2,91.3
2025-07-25 12:44:48.110516,6.2,91.3
2025-07-25 12:44:53.116465,8.1,90.3
2025-07-25 12:44:58.121457,8.5,90.3
2025-07-25 12:45:03.126280,13.4,90.5
2025-07-25 12:45:08.133457,6.6,90.5
2025-07-25 12:47:29.971374,10.5,87.6
2025-07-25 12:47:34.979294,18.3,90.4
2025-07-25 12:47:39.983474,10.4,90.6
2025-07-25 12:47:44.991134,12.1,90.6
2025-07-25 12:47:49.998341,10.4,90.6
2025-07-25 12:47:55.004549,8.3,90.7
2025-07-25 12:48:00.010636,8.7,90.7
2025-07-25 12:48:05.018007,4.7,90.4
2025-07-25 12:48:10.024569,8.3,90.2
2025-07-25 12:48:15.031412,6.2,90.2
2025-07-25 12:48:20.037799,5.8,90.2
2025-07-25 12:48:25.046471,9.5,90.3
2025-07-25 12:48:30.053900,10.5,90.2
2025-07-25 12:48:35.061636,10.0,90.2
2025-07-25 12:48:40.068402,9.2,90.3
2025-07-25 12:48:45.073509,7.4,90.3
2025-07-25 12:48:50.080180,14.0,90.4
2025-07-25 12:48:55.086727,7.8,90.4
2025-07-25 12:49:00.094082,12.2,90.8
2025-07-25 12:49:05.101395,6.4,90.8
2025-07-25 12:49:10.107951,6.2,90.9
2025-07-25 12:49:15.116191,9.7,90.9
2025-07-25 12:49:20.123288,7.5,90.9
2025-07-25 12:49:25.129953,7.9,91.0
2025-07-25 12:52:32.709824,18.4,87.7
2025-07-25 12:52:37.721408,17.5,87.7
2025-07-25 12:52:42.732763,12.3,88.1
2025-07-25 12:52:47.742040,13.8,87.5
2025-07-25 12:52:52.756564,11.8,87.8
2025-07-25 12:52:57.762958,12.5,87.5
2025-07-25 12:53:02.776673,10.9,87.3
2025-07-25 12:53:07.779949,14.5,87.5
2025-07-25 12:53:12.796760,24.3,87.4
2025-07-25 12:53:17.807880,12.5,87.4
2025-07-25 12:53:22.816704,13.9,87.3
2025-07-25 12:53:27.822650,30.9,87.3
2025-07-25 12:53:32.836925,10.4,87.0
2025-07-25 12:53:37.841325,10.9,86.8
2025-07-25 12:53:42.853914,12.2,86.8
2025-07-25 12:53:47.863786,13.0,86.7
2025-07-25 12:53:52.874488,11.8,87.3
2025-07-25 12:53:57.879616,31.9,86.4
2025-07-25 12:54:02.890674,13.7,86.2
2025-07-25 12:54:07.906503,11.2,86.2
2025-07-25 12:54:12.916295,12.4,86.3
2025-07-25 12:54:17.927611,10.8,86.3
2025-07-25 12:54:22.931616,12.5,86.4
2025-07-25 12:54:27.944332,17.1,86.4
2025-07-25 12:55:26.814326,16.4,87.9
2025-07-25 12:55:31.823382,14.9,87.9
